channel_name,channel_id,video_url,video_title,views,likes,comments
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=hDhYm6CB-Z8,Managing INCOME and EXPENSES as a SINGLE PARENT! | Money Matters Ep. 59 | Ankur Warikoo Hindi,153333,2405,220
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=XOWlHWgT2SQ,Escaping the Middle Class Trap: The 3 Paths of Money | Ankur Warikoo Hindi,936488,28857,913
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=H4JrE6__n4Y,How to Get Out of DEBT TRAP in Just 9 Months?! | Money Matters Ep. 58 | Ankur Warikoo Hindi,245648,5077,340
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=8UzLUXL--FA,SIP + Gold: How to BALANCE Your PORTFOLIO? | Ankur Warikoo Hindi,359153,7871,341
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=wJl7KlESQ7M,"Complete FINANCIAL PLANNING for ?30,000 Salary! | Money Matters Ep. 57 | Ankur Warikoo Hindi",728663,17563,911
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=I7uFq-_calg,"The Ultimate Indian Tax-Saving Masterclass (Salary, Business & Investments)  | The 1% Club Show Ep62",141211,2676,472
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=ZeQkweUCmbY,He got 128% Returns in 2024 | The 1% Club Show Ep 61,153667,2390,290
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=xUZUVHNuDnM,Inside A Goa Villa That Earns 1 Lakh Per Day | Smart Holiday Home Investment,98105,1738,348
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=_Xx0hxNuug8,Lab-Grown vs Natural Diamonds: Dirty Secrets Jewelers Won�t Say | 1% Club Show Ep 60,39753,595,89
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=BRH2aMTlECk,Real-Life Home Buying Tour | Hyderabad Edition,193519,2935,457
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=vdBt0zeRRAY,"30 min with $7Bn Fund Manager, 25 Years of Investing Revealed | 1% Club Show Ep 59",360695,6012,168
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=n6IUZ1myDT4,Ultimate F&O Trading Masterclass- ft. Univest CEO  | 1% Club Show Ep 58,107621,2187,307
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=3TAW3EBotxs,"Real-Life Finance Case Study: ?1.5L Salary, Family Costs & FIRE Plan",153169,1497,320
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=dIWznByHUKE,"25 Year Old Millionaire In Dubai, AI & Gaming, Buying Real Estate With Crypto",1008602,2423,350
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=QJ2i-oHJf7g,Don�t Get a Credit Card in 2025 Without Watching This | 1% Club Show Ep 57,292961,5113,383
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=1YUFk6cPUDw,What It�s Like Living in Burj Khalifa 80th Floor Apartment? Luxury Home Tour | 1% Club Show Ep 56,908993,9904,297
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=Tz1slJbcgWU,2025 Investment Strategy After The Crash | Don�t Invest Until You See This | 1% Club Show Ep 55,173422,3264,321
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=iznk5pCkc1c,"60k Income, Managing FAMILY After Losing Father | Personal CFO Ep. 4 | Finance With Sharan",98394,1464,100
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=163z78P-qBI,"?25,000 vs ?17,00,000 Rent House! ft. @rk.ravikewalramani",451666,7480,7033
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=MS2Dh44UvFs,The Dark Reality About Buying a US Green Card | Ep. 54,479032,5165,922
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=DYIl-EP8LZM,How This Startup made ?1 Crore in Just 25 Days After Shark Tank! | Ep. 53,24447,540,32
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=mcg2uE2Fg8Y,How He�s Achieving Financial Freedom With His Salary??| Personal CFO Ep. 3 | Finance With Sharan,147152,1908,174
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=DU0IMLDnrm4,"How They Built A 50,000 Cr Tech Company In An Indian Village | FREE MBA Masterclass | Ep. 52",843678,10229,374
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=Ov96P7e_eE0,FREE Masterclass To Become Crorepati Influencer | Bolly Celeb Manager Reveals The Secrets | Ep. 51,23836,543,27
Finance With Sharan,UCwVEhEzsjLym_u1he4XWFkg,https://www.youtube.com/watch?v=EsMGwG_H2qA,Budget 2025 Simplified: How Will It Impact You? Experts Break It Down,158094,5007,306
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=pTbWllDAo9g,UPS vs NPS - Which is better? | SURPRISING Pension Scheme Calculation,92609,2464,485
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=9yoEyT1zDq4,Shocking New Income Tax Slabs 2025-26 Calculation & Rules | New Tax Regime vs Old Tax Regime,55623,1726,125
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=94baVxz3cxE,ELSS Mutual Fund 2025 ??? ????? ?? ????,12823,413,49
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=qMhZ9AWnZTI,India vs Pakistan - The SECRET WAR No One Is Talking About,36017,1295,146
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=WHrwT_rejac,"How to Invest in Stock Market amid Trump Tariffs? | US, China & Global Recession Fears in 2025?",17418,800,102
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=fYWrEdLddfY,Why Property Is So EXPENSIVE in India in 2025? � 3 Reasons You Can�t Guess,109786,2994,253
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=EpSgyHZSJGM,Stock Market Crash Recovery � How to Invest in 2025?,214030,5570,550
